date,type,value
2023-11-02,artist,Shawn Mendes: 2 times
2023-11-02,artist,Selena Gomez: 1 times
2023-11-02,album,Illuminate (Deluxe): 2 times
2023-11-02,album,Wolves: 1 times
2023-11-03,artist,Charlie Puth: 1 times
2023-11-03,artist,Ashe: 1 times
2023-11-03,album,Nine Track Mind: 1 times
2023-11-03,album,Ashlyn: 1 times
2023-11-04,artist,Sonu Nigam: 1 times
2023-11-04,album,Bollywood Unplugged: 1 times
2023-11-07,artist,Taylor Swift: 2 times
2023-11-07,artist,Ritviz: 1 times
2023-11-07,album,Baaraat: 1 times
2023-11-07,album,Roy: 1 times
2023-11-08,artist,Taylor Swift: 3 times
2023-11-08,artist,Demi Lovato: 1 times
2023-11-08,album,evermore (deluxe version): 2 times
2023-11-08,album,HOLY FVCK: 1 times
2023-11-09,artist,Pritam: 1 times
2023-11-09,artist,Medha Sahi: 1 times
2023-11-09,album,Bajrangi Bhaijaan: 1 times
2023-11-09,album,Four More Shots Please! (Original Series Soundtrack): 1 times
2023-11-11,artist,Justin Bieber: 1 times
2023-11-11,artist,Taylor Swift: 1 times
2023-11-11,album,Hold On: 1 times
2023-11-11,album,Lover: 1 times
